Region,Distance (mm),Bus Voltage (V),Shunt Voltage (V),Load Voltage (V),Current (mA),Power (mW),Sensor #
2,1805.38,4.86,0.63,4.86,6.20,30.00,1
2,1805.90,4.83,0.53,4.83,5.80,26.00,2
2,1807.44,4.85,0.69,4.85,6.70,32.00,3
2,1790.80,4.86,0.63,4.86,6.30,30.00,4
2,1807.44,4.84,0.63,4.84,6.40,30.00,1
2,1799.03,4.85,0.57,4.85,5.60,26.00,2
2,1804.18,4.82,0.67,4.82,6.80,32.00,3
2,1788.40,4.85,0.63,4.85,6.30,30.00,4
2,1800.41,4.86,0.59,4.86,6.00,30.00,1
2,1804.35,4.83,0.54,4.83,5.50,26.00,2
2,1794.75,4.86,0.69,4.86,6.70,32.00,3
2,1799.38,4.85,0.60,4.85,6.20,30.00,4
2,1810.01,4.85,0.61,4.85,6.20,30.00,1
2,1801.78,4.85,0.56,4.85,5.60,26.00,2
2,1800.58,4.83,0.70,4.83,6.60,32.00,3
2,1792.35,4.86,0.63,4.86,6.10,30.00,4
2,1811.73,4.85,0.61,4.85,6.10,30.00,1
2,1791.32,4.83,0.54,4.83,5.60,26.00,2
2,1788.75,4.86,0.69,4.86,6.90,32.00,3
2,1797.15,4.84,0.61,4.84,6.20,30.00,4
2,1801.26,4.85,0.62,4.85,6.20,30.00,1
2,1797.32,4.84,0.54,4.84,5.30,26.00,2
2,1789.43,4.83,0.69,4.83,6.80,32.00,3
2,1782.23,4.86,0.63,4.86,6.00,30.00,4
2,1802.46,4.85,0.63,4.85,6.20,30.00,1
2,1780.17,4.84,0.54,4.84,5.60,26.00,2
2,1787.72,4.86,0.70,4.86,6.80,32.00,3
2,1783.60,4.84,0.62,4.84,6.20,30.00,4
2,1803.15,4.86,0.62,4.86,6.10,30.00,1
2,1778.45,4.84,0.56,4.84,5.50,26.00,2
2,1776.05,4.84,0.66,4.84,6.90,32.00,3
2,1790.46,4.86,0.62,4.86,6.20,30.00,4
2,1792.86,4.84,0.62,4.84,6.30,30.00,1
2,1779.14,4.84,0.55,4.84,5.60,26.00,2
2,1782.91,4.83,0.68,4.83,6.80,32.00,3
2,1769.88,4.84,0.61,4.84,6.30,30.00,4
2,1793.55,4.86,0.64,4.86,6.00,30.00,1
2,1776.91,4.83,0.55,4.83,5.40,26.00,2
2,1778.63,4.83,0.68,4.83,6.80,32.00,3
2,1775.88,4.86,0.63,4.86,6.20,30.00,4
2,1791.49,4.84,0.63,4.84,6.10,30.00,1
2,1770.05,4.84,0.56,4.84,5.50,26.00,2
2,1776.40,4.84,0.69,4.84,6.70,32.00,3
2,1776.23,4.84,0.62,4.84,6.00,30.00,4
2,1793.03,4.86,0.62,4.86,6.30,30.00,1
2,1775.88,4.83,0.55,4.83,5.60,26.00,2
2,1774.00,4.85,0.68,4.85,7.00,32.00,3
2,1765.59,4.86,0.62,4.86,6.20,30.00,4
2,1777.25,4.84,0.64,4.84,6.00,30.00,1
2,1769.02,4.85,0.57,4.85,5.50,26.00,2
2,1761.82,4.82,0.68,4.82,6.90,32.00,3
2,1758.56,4.85,0.62,4.85,6.20,32.00,4
2,1795.78,4.86,0.64,4.86,6.50,30.00,1
2,1761.99,4.83,0.56,4.83,5.70,26.00,2
2,1772.28,4.83,0.70,4.83,7.00,32.00,3
2,1765.08,4.85,0.63,4.85,6.20,30.00,4
2,1771.42,4.84,0.62,4.84,6.20,30.00,1
2,1754.96,4.85,0.57,4.85,5.50,26.00,2
2,1769.54,4.82,0.69,4.82,6.70,32.00,3
2,1766.96,4.85,0.62,4.85,6.10,30.00,4
2,1772.97,4.86,0.63,4.86,6.20,30.00,1
2,1765.76,4.83,0.55,4.83,5.50,26.00,2
2,1772.45,4.86,0.69,4.86,6.90,32.00,3
2,1764.22,4.85,0.60,4.85,6.00,30.00,4
2,1762.68,4.84,0.62,4.84,6.20,30.00,1
2,1754.96,4.85,0.57,4.85,5.60,26.00,2
2,1761.13,4.84,0.67,4.84,6.90,32.00,3
2,1757.53,4.85,0.61,4.85,6.50,32.00,4
2,1754.62,4.86,0.65,4.86,6.30,30.00,1
2,1751.70,4.83,0.57,4.83,5.50,26.00,2
2,1758.73,4.83,0.69,4.83,7.10,32.00,3
2,1759.08,4.85,0.60,4.85,5.80,30.00,4
2,1762.85,4.84,0.61,4.84,6.00,30.00,1
2,1759.25,4.85,0.56,4.85,5.60,26.00,2
2,1752.39,4.84,0.69,4.84,6.80,32.00,3
2,1748.96,4.85,0.63,4.85,6.40,30.00,4
2,1756.16,4.86,0.62,4.86,6.30,30.00,1
2,1748.10,4.83,0.55,4.83,5.60,26.00,2
2,1745.70,4.84,0.68,4.84,6.90,32.00,3
2,1750.84,4.85,0.61,4.85,6.20,30.00,4
2,1753.93,4.84,0.58,4.84,6.10,30.00,1
2,1750.50,4.85,0.56,4.85,5.50,26.00,2
2,1757.36,4.84,0.68,4.84,6.90,32.00,3
2,1744.84,4.85,0.63,4.85,6.60,32.00,4
2,1755.65,4.86,0.62,4.86,6.00,30.00,1
2,1744.16,4.83,0.58,4.83,5.80,30.00,2
2,1751.19,4.83,0.72,4.83,6.80,32.00,3
2,1742.78,4.84,0.60,4.84,6.00,30.00,4
2,1758.73,4.84,0.61,4.84,6.30,30.00,1
2,1741.93,4.85,0.55,4.85,5.70,26.00,2
2,1757.53,4.84,0.69,4.84,6.90,32.00,3
2,1744.84,4.85,0.59,4.85,6.10,30.00,4
2,1747.41,4.86,0.63,4.86,6.40,30.00,1
2,1739.52,4.83,0.56,4.83,5.60,26.00,2
2,1736.78,4.86,0.69,4.86,6.90,32.00,3
2,1742.27,4.85,0.62,4.85,6.10,30.00,4
2,1749.47,4.84,0.62,4.84,6.00,30.00,1
2,1741.75,4.85,0.56,4.85,5.70,26.00,2
2,1739.52,4.82,0.69,4.82,6.70,32.00,3
2,1739.35,4.86,0.64,4.86,6.30,30.00,4
2,1751.87,4.86,0.61,4.86,6.20,30.00,1
2,1739.70,4.83,0.57,4.83,5.80,26.00,2
2,1737.29,4.84,0.69,4.84,6.80,32.00,3
2,1733.35,4.85,0.62,4.85,6.10,30.00,4
2,1740.55,4.84,0.62,4.84,6.20,30.00,1
2,1737.29,4.85,0.57,4.85,5.80,30.00,2
2,1739.18,4.84,0.71,4.84,6.70,32.00,3
2,1735.58,4.85,0.62,4.85,6.30,32.00,4
2,1738.15,4.86,0.62,4.86,5.90,30.00,1
2,1729.75,4.83,0.55,4.83,5.70,26.00,2
2,1736.78,4.86,0.70,4.86,7.00,32.00,3
2,1723.75,4.84,0.61,4.84,6.10,30.00,4
2,1735.92,4.84,0.63,4.84,6.20,30.00,1
2,1744.67,4.85,0.56,4.85,5.60,26.00,2
2,1733.86,4.84,0.68,4.84,7.00,32.00,3
2,1730.61,4.85,0.63,4.85,6.20,30.00,4
2,1733.52,4.86,0.61,4.86,6.00,30.00,1
2,1720.66,4.82,0.57,4.82,5.50,26.00,2
2,1722.89,4.86,0.68,4.86,6.70,32.00,3
2,1723.23,4.86,0.65,4.86,6.30,30.00,4
2,1735.41,4.84,0.61,4.84,6.30,26.00,1
2,1726.83,4.85,0.57,4.85,5.60,26.00,2
2,1728.89,4.84,0.70,4.84,6.80,32.00,3
2,1729.58,4.85,0.61,4.85,6.20,30.00,4
2,1732.32,4.86,0.60,4.86,6.10,30.00,1
2,1724.09,4.83,0.55,4.83,5.40,26.00,2
2,1722.03,4.85,0.68,4.85,6.80,32.00,3
2,1719.12,4.86,0.61,4.86,5.90,30.00,4
2,1738.67,4.84,0.60,4.84,6.00,30.00,1
2,1721.86,4.85,0.53,4.85,5.70,26.00,2
2,1719.12,4.83,0.70,4.83,6.90,32.00,3
2,1711.40,4.84,0.62,4.84,6.10,30.00,4
2,1723.06,4.86,0.63,4.86,6.00,30.00,1
2,1723.75,4.83,0.55,4.83,5.50,26.00,2
2,1717.23,4.83,0.69,4.83,7.10,36.00,3
2,1714.31,4.86,0.62,4.86,6.00,30.00,4
2,1729.23,4.84,0.63,4.84,6.10,30.00,1
2,1721.17,4.84,0.57,4.84,5.50,26.00,2
2,1719.12,4.85,0.67,4.85,6.60,32.00,3
2,1711.57,4.84,0.63,4.84,6.20,30.00,4
2,1722.37,4.86,0.60,4.86,6.10,30.00,1
2,1704.88,4.83,0.56,4.83,5.40,26.00,2
2,1716.37,4.84,0.69,4.84,7.00,32.00,3
2,1708.14,4.86,0.62,4.86,6.00,30.00,4
2,1716.20,4.84,0.62,4.84,6.00,30.00,1
2,1702.48,4.84,0.57,4.84,5.60,26.00,2
2,1709.17,4.86,0.69,4.86,7.10,32.00,3
2,1705.57,4.84,0.63,4.84,6.00,30.00,4
2,1717.23,4.86,0.63,4.86,6.20,30.00,1
2,1701.45,4.84,0.56,4.84,5.70,26.00,2
2,1703.34,4.82,0.68,4.82,6.90,32.00,3
2,1698.19,4.86,0.62,4.86,6.40,30.00,4
2,1709.85,4.85,0.62,4.85,6.00,30.00,1
2,1697.34,4.84,0.56,4.84,5.70,26.00,2
2,1699.74,4.86,0.66,4.86,6.80,32.00,3
2,1695.96,4.84,0.60,4.84,6.30,30.00,4
2,1703.34,4.85,0.61,4.85,6.20,30.00,1
2,1696.14,4.84,0.56,4.84,5.60,26.00,2
2,1697.34,4.84,0.70,4.84,6.90,32.00,3
2,1693.73,4.86,0.60,4.86,6.40,30.00,4
2,1700.59,4.86,0.61,4.86,5.90,30.00,1
2,1696.99,4.83,0.57,4.83,5.30,26.00,2
2,1699.56,4.84,0.69,4.84,6.80,32.00,3
2,1712.94,4.85,0.62,4.85,6.20,30.00,4
2,1703.51,4.84,0.61,4.84,6.20,30.00,1
2,1695.45,4.85,0.56,4.85,5.60,26.00,2
2,1692.02,4.84,0.67,4.84,7.10,32.00,3
2,1688.42,4.85,0.61,4.85,6.30,30.00,4
2,1700.59,4.86,0.61,4.86,6.40,30.00,1
2,1696.65,4.82,0.55,4.82,5.50,26.00,2
2,1694.25,4.86,0.69,4.86,6.80,32.00,3
2,1690.30,4.86,0.63,4.86,6.20,30.00,4
2,1702.14,4.84,0.63,4.84,5.90,30.00,1
2,1686.19,4.85,0.55,4.85,5.70,26.00,2
2,1697.34,4.85,0.69,4.85,7.00,32.00,3
2,1689.62,4.84,0.63,4.84,6.40,30.00,4
2,1704.54,4.86,0.61,4.86,5.90,30.00,1
2,1696.14,4.84,0.55,4.84,5.40,26.00,2
2,1685.33,4.82,0.68,4.82,6.90,32.00,3
2,1686.02,4.86,0.64,4.86,6.30,30.00,4
2,1702.31,4.84,0.62,4.84,6.00,30.00,1
2,1684.99,4.85,0.56,4.85,5.60,26.00,2
2,1682.59,4.83,0.68,4.83,6.70,32.00,3
2,1683.27,4.84,0.65,4.84,6.30,30.00,4
2,1690.48,4.86,0.64,4.86,6.00,30.00,1
2,1677.44,4.84,0.54,4.84,5.50,26.00,2
2,1679.67,4.82,0.67,4.82,6.80,32.00,3
2,1676.41,4.86,0.60,4.86,6.20,30.00,4
2,1692.36,4.84,0.60,4.84,6.00,30.00,1
2,1676.24,4.83,0.58,4.83,5.60,26.00,2
2,1678.81,4.86,0.68,4.86,6.80,32.00,3
2,1683.79,4.84,0.61,4.84,6.20,30.00,4
2,1681.90,4.85,0.60,4.85,6.10,30.00,1
2,1673.50,4.85,0.58,4.85,5.70,26.00,2
2,1675.73,4.84,0.68,4.84,6.80,32.00,3
2,1676.93,4.86,0.61,4.86,6.30,30.00,4
2,1683.27,4.86,0.61,4.86,6.10,30.00,1
2,1684.30,4.83,0.56,4.83,5.50,26.00,2
2,1677.96,4.85,0.71,4.85,6.70,32.00,3
2,1678.30,4.85,0.61,4.85,6.10,30.00,4
2,1689.79,4.84,0.63,4.84,6.20,30.00,1
2,1686.02,4.85,0.56,4.85,5.70,26.00,2
2,1670.24,4.82,0.68,4.82,6.80,32.00,3
2,1666.98,4.85,0.61,4.85,6.40,30.00,4
2,1678.98,4.86,0.62,4.86,6.10,30.00,1
2,1669.55,4.83,0.56,4.83,5.50,26.00,2
2,1666.98,4.85,0.69,4.85,7.00,32.00,3
2,1667.67,4.86,0.61,4.86,6.20,30.00,4
2,1679.67,4.84,0.59,4.84,6.10,30.00,1
2,1667.15,4.84,0.57,4.84,5.80,26.00,2
2,1682.41,4.86,0.70,4.86,6.70,32.00,3
2,1660.63,4.84,0.60,4.84,6.20,30.00,4
2,1694.08,4.86,0.61,4.86,6.20,30.00,1
